index_group,month,monthly_return,volatility
DAX,2025-12,0.0,
DAX,2026-01,0.0019762997155294837,0.13113242025314198
DAX,2026-02,0.030378376218603398,0.11307793821539103
DAX,2026-03,-0.10299770399707542,0.24825230673216891
DAX,2026-04,0.07109078570948801,0.24210700246634576
DAX,2026-05,0.03343922376638919,0.20296019202890994
DAX,2026-06,-0.019032635666598074,0.13065659722390893
MDAX,2025-12,0.0,
MDAX,2026-01,0.01785797327638461,0.16760732166666145
MDAX,2026-02,0.012703594146799224,0.12470255413316654
MDAX,2026-03,-0.1080330745408693,0.3051116197983863
MDAX,2026-04,0.08664662161397985,0.3014210833619808
MDAX,2026-05,0.09031982650551496,0.19076447191829524
MDAX,2026-06,-0.056042848690211255,0.15071510314352804
