ticker,volatility_annualized,max_drawdown,total_return,name,sector,index_group,as_of_date,positive,rank_in_index
EVK.DE,0.3091883324068929,-0.1588784479862051,0.24798168598539116,Evonik Industries,Chemicals,MDAX,2026-06-30,True,10
LHA.DE,0.44635586760476614,-0.2513684202831351,0.21082883961038235,Lufthansa,Airlines,MDAX,2026-06-30,True,11
PUM.DE,0.5724971480424702,-0.24086994817756635,0.20538116952463903,Puma,Apparel,MDAX,2026-06-30,True,12
DWS.DE,0.31978638206541954,-0.1623119860539045,0.1805678285245722,DWS Group,Financial Services,MDAX,2026-06-30,True,13
TKMS.DE,0.6478080154144576,-0.2977250141287182,0.1588502305958579,TKMS,Defence,MDAX,2026-06-30,True,14
TKA.DE,0.6008086528638705,-0.4144195172659729,0.10099847915014193,Thyssenkrupp,Industrials,MDAX,2026-06-30,True,15
TEG.DE,0.3651459565633727,-0.23039806967842913,0.08811490917726772,TAG Immobilien,Real Estate,MDAX,2026-06-30,True,16
RRTL.DE,0.2476234520286636,-0.12381422918091389,0.07637655670481824,RTL Group,Media,MDAX,2026-06-30,True,17
SZG.DE,0.6669757226892441,-0.3905272987704944,0.05951119278424244,Salzgitter,Steel,MDAX,2026-06-30,True,18
FRA.DE,0.3621588497609133,-0.23547107798550515,0.05814582992116191,Fraport,Airport Operator,MDAX,2026-06-30,True,19
KBX.DE,0.30541059520031605,-0.1707106537566988,0.05491768903073524,Knorr-Bremse,Industrials,MDAX,2026-06-30,True,20
BOSS.DE,0.18793879704106325,-0.06253395318572685,0.046529933379259036,Hugo Boss,Apparel,MDAX,2026-06-30,True,21
8TRA.DE,0.3545099922316126,-0.21706265434126748,0.045245874123495566,Traton,Automotive,MDAX,2026-06-30,True,22
SDF.DE,0.43419809306108376,-0.2941692546160216,0.03771901027380431,K+S,Mining,MDAX,2026-06-30,True,23
FPE3.DE,0.2753256936799135,-0.18440778002871805,0.03672678882922087,Fuchs,Chemicals,MDAX,2026-06-30,True,24
DEZ.DE,0.5202894510164667,-0.33199998292732047,0.03510900608933154,Deutz,Manufacturing,MDAX,2026-06-30,True,25
IOS.DE,0.5003453999373695,-0.28040544045415516,0.0332710052205023,IONOS Group,IT Services,MDAX,2026-06-30,True,26
FTK.DE,0.4706540310821032,-0.3047619008328183,0.026420499861342872,flatexDEGIRO,Financial Services,MDAX,2026-06-30,True,27
RAA.DE,0.349934311751332,-0.20531091682564295,0.0026342350741197507,Rational,Manufacturing,MDAX,2026-06-30,True,28
TLX.DE,0.2268144099881592,-0.14768708127897967,-0.007137767252178739,Talanx,Financial Services,MDAX,2026-06-30,False,29
SHA0.DE,0.6351642595863045,-0.4369218090269408,-0.009163859062530255,Schaeffler,Automotive,MDAX,2026-06-30,False,30
P911.DE,0.3053658007060299,-0.2371848388917821,-0.04768401058075733,Porsche AG,Automotive,MDAX,2026-06-30,False,31
